"SKU","Product","Package ID","Category","Tags","Strain","Vendor","Room","Available","Unit price (Inventory)","Cost","External package ID","Testing status","Testing status text","Is finished in METRC","THC","THCA","THC-D9","CBD","CBDA","CBN","Inventory date","Expiration date","Packaging date","Date of manufacture","Unit","Master category","Type","Flower equiv","Alternate description","Is cannabis","Is coupon","Is additive","Is available online","Is POS available","Is Retired","Is on sale","Taxable","Brand","Online title","Online Description","Image URL","External category","Net weight","Gross weight","Instructions","Allergens","Ingredients","Days supply","Product size","Package NDC","Allocated quantity","Quantity (including allocated)","SubRoom name","Harvest date","Producer","On hold","Last audited date","Status","Batch","Calculated THC (mg)","Current price","Price (Catalog)","Location price (Catalog)","Available for"
39085A,Standard | Cart | Empty Vape Cart .5g,00045,Gear,,No Strain,"Standard Wellness Company, LLC",Sales Floor,41,9.3,8,00045,,,,,,,,,,10/25/2020,,10/26/2020,,qty,Gear,Qty,,,No,no,false,YES,Yes,No,false,YES,Standard Wellness,,,,Ancillary,,,,,,0,,,,41,,,,false,,,,,9.3,1,,All enabled customer types
06149962,"LuvBuds | Dab Tool | 6"" Color Frit Anodized Stainless Steel Dab Tool | Assorted Colors",00362,Gear,,,LuvBuds,Sales Floor,1,10,4.2,00362,,,false,,,,,,,3/28/2023,,3/28/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,LuvBuds,,,,,,0,,,,,,,,1,,,,false,,,,,10,10,,All enabled customer types
02100424,Hundred Percent Labs | Battery | Pax Era Life Battery | Onyx,00423,Gear,,,Hundred Percent Labs,Sales Floor,27,34,17,00423,,,false,,,,,,,4/21/2023,,6/8/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Pax Era Life,,,,,,0,,,,,,,,27,,,,false,,,,,34,34,,All enabled customer types
90055667,Pure Ohio Wellness | Luster Battery | Green | Gear |,00430,Gear,,No Strain,Pure Ohio Wellness,Sales Floor,3,30,15,00430,,,false,,,,,,,6/14/2023,,6/14/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Pure Ohio Wellness,,,,,,0,,,,,,,,3,,,,false,,,,,30,30,,All enabled customer types
06791344,LuvBuds | Vaporizer | Davinci  MIQRO-C | Green |,00581,Gear,,No Strain,LuvBuds,Sales Floor,1,140,70,00581,,,false,,,,,,,10/24/2023,,10/24/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Davinci,,,,,,0,,,,,,,,1,,,,false,,,,,140,140,,All enabled customer types
47719438,Buckeye Relief | MiniNail | Pink Quartz,00586,Gear,,No Strain,Buckeye Relief,Sales Floor,1,380,190,00586,,,false,,,,,,,10/27/2023,,10/26/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,MiniNail,,,,,,0,,,,,,,,1,,,,false,,,,,380,380,,All enabled customer types
72115370,Puffco | Peak Pro | Gear,00592,Gear,,,Puffco,Sales Floor,8,550,420,00592,,,false,,,,,,,11/11/2023,,11/11/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,8,,,,false,,,,,550,550,,All enabled customer types
33994340,Puffco | 3DXL Chamber | Gear,00599,Gear,,,Puffco,Sales Floor,1,125,50,00599,,,false,,,,,,,11/11/2023,,11/11/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,1,,,,false,,,,,125,125,,All enabled customer types
28615289,Puffco | Atomizer | Gear,00600,Gear,,,Puffco,Sales Floor,1,50,25,00600,,,false,,,,,,,11/11/2023,,11/11/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,1,,,,false,,,,,50,50,,All enabled customer types
86923744,Purpose Leaf | Gear | Luster Battery,00619,Gear,,,"Purpose Leaf, LLC",Sales Floor,105,32,16,00619,,,false,,,,,,,12/6/2023,,12/6/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Hon,,,,,,0,,,,,,,,105,,,,false,,,,,32,32,,All enabled customer types
