"SKU","Product","Package ID","Category","Tags","Strain","Vendor","Room","Available","Unit price (Inventory)","Cost","External package ID","Testing status","Testing status text","Is finished in METRC","THC","THCA","THC-D9","CBD","CBDA","CBN","Inventory date","Expiration date","Packaging date","Date of manufacture","Unit","Master category","Type","Flower equiv","Alternate description","Is cannabis","Is coupon","Is additive","Is available online","Is POS available","Is Retired","Is on sale","Taxable","Brand","Online title","Online Description","Image URL","External category","Net weight","Gross weight","Instructions","Allergens","Ingredients","Days supply","Product size","Package NDC","Allocated quantity","Quantity (including allocated)","SubRoom name","Harvest date","Producer","On hold","Last audited date","Status","Batch","Calculated THC (mg)","Current price","Price (Catalog)","Location price (Catalog)","Available for"
51205864,Puffco | Proxy Kit |  Desert | Modular Vaporizer,00481,Gear,,No Strain,LuvBuds,Sales Floor,4,320,205,00481,,,false,,,,,,,6/28/2023,,6/27/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,4,,,,false,,,,,598,598,,All enabled customer types
51205864,Puffco | Proxy Kit |  Desert | Modular Vaporizer,00492,Gear,,No Strain,Puffco,Sales Floor,13,320,299,00492,,,false,,,,,,,7/14/2023,,7/14/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,13,,,,false,,,,,598,598,,All enabled customer types
54543067,Puffco | Proxy Kit | Black  | Modular Vaporizer,00493,Gear,,No Strain,Puffco,Sales Floor,5,320,299,00493,,,false,,,,,,,7/14/2023,,7/14/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,5,,,,false,,,,,598,598,,All enabled customer types
51465425,Buckeye Relief | Luster Battery | Red | Gear,00516,Gear,,N/A,Buckeye Relief,Sales Floor,1,30,15,00516,,,false,,,,,,,8/25/2023,,8/25/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Buckeye Relief,,,,,,0,,,,,,,,1,,,,false,,,,,30,30,,All enabled customer types
59004984,Buckeye Relief | Luster Battery | Yellow | Gear,00517,Gear,,N/A,Buckeye Relief,Sales Floor,5,30,15,00517,,,false,,,,,,,8/25/2023,,8/25/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Buckeye Relief,,,,,,0,,,,,,,,5,,,,false,,,,,30,30,,All enabled customer types
52958949,Buckeye Relief | MiniNail | Black Quartz,00518,Gear,,N/A,Buckeye Relief,Sales Floor,10,380,190,00518,,,false,,,,,,,8/25/2023,,8/25/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,MiniNail,,,,,,0,,,,,,,,10,,,,false,,,,,380,380,,All enabled customer types
06205559,Buckeye Relief | MiniNail | Dark Blue Quartz | Gear,00519,Gear,,N/A,Buckeye Relief,Sales Floor,4,380,190,00519,,,false,,,,,,,8/25/2023,,8/25/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Buckeye Relief,,,,,,0,,,,,,,,4,,,,false,,,,,380,380,,All enabled customer types
98955870,Willie's Reserve | Luster Battery | Black | Gear,00520,Gear,,N/A,Buckeye Relief,Sales Floor,1,30,15,00520,,,false,,,,,,,8/25/2023,,8/25/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Willie's Reserve,,,,,,0,,,,,,,,1,,,,false,,,,,30,30,,All enabled customer types
54543067,Puffco | Proxy Kit | Black  | Modular Vaporizer,00528,Gear,,No Strain,Hundred Percent Labs,Sales Floor,1,320,250,00528,,,false,,,,,,,8/31/2023,,9/3/2023,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,1,,,,false,,,,,598,598,,All enabled customer types
54044030,Timeless | 12 Parsec TV6 | Battery & Flip Case,00668,Gear,,No Strain,Standard Farms,Sales Floor,3,28,14,00668,,,false,,,,,,,5/29/2024,,5/29/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Timeless,,,,,,0,,,,,,,,3,,,,false,,,,,28,28,,All enabled customer types
60074482,Timeless | Tato Caraveo TV6 | Battery & Flip Case,00669,Gear,,No Strain,Standard Farms,Sales Floor,1,28,14,00669,,,false,,,,,,,5/29/2024,,5/29/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Timeless,,,,,,0,,,,,,,,1,,,,false,,,,,28,28,,All enabled customer types
96154036,Timeless | Yellow/Black TV6 | Battery & Flip Case,00671,Gear,,No Strain,Standard Farms,Sales Floor,3,28,14,00671,,,false,,,,,,,5/29/2024,,5/29/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Timeless,,,,,,0,,,,,,,,3,,,,false,,,,,28,28,,All enabled customer types
55539345,Silverton | Tan | Small | Gear,00674,Gear,,No Strain,Stashlogix,Sales Floor,1,45,22.5,00674,,,false,,,,,,,5/29/2024,,5/29/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,SILVERTON,,,,,,0,,,,,,,,1,,,,false,,,,,45,45,,All enabled customer types
25227153,Airo Pro | Artic  | Battery | Gear,00682,Gear,,No Strain,Buckeye Relief,Sales Floor,17,30,15,00682,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,17,,,,false,,,,,30,30,,All enabled customer types
64508260,Airo Pro | Emerald | Battery | Gear,00683,Gear,,No Strain,Buckeye Relief,Sales Floor,12,30,15,00683,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,12,,,,false,,,,,30,30,,All enabled customer types
18624940,Airo Pro | Slate | Battery | Gear,00684,Gear,,No Strain,Buckeye Relief,Sales Floor,17,30,15,00684,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,17,,,,false,,,,,30,30,,All enabled customer types
50964978,Airo Sport | Colbalt Blue | Battery | Gear,00685,Gear,,No Strain,Buckeye Relief,Sales Floor,8,20,10,00685,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,8,,,,false,,,,,20,20,,All enabled customer types
58935553,Airo Sport | OG Indigo | Battery | Gear,00686,Gear,,No Strain,Buckeye Relief,Sales Floor,4,20,10,00686,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,4,,,,false,,,,,20,20,,All enabled customer types
86664566,Old Pal | Black Luster | Battery,00688,Gear,,No Strain,Buckeye Relief,Sales Floor,23,21,10.5,00688,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Old Pal,,,,,,0,,,,,,,,23,,,,false,,,,,21,21,,All enabled customer types
40392842,Willie's Reserve | Luster Battery | Black | Gear,00689,Gear,,No Strain,Buckeye Relief,Backstock,11,21,10.5,00689,,,false,,,,,,,6/6/2024,,6/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Willie's Reserve,,,,,,0,,,,,,,,11,,,,false,,,,,21,21,,All enabled customer types
78424240,SESH | Pearl | 510 Palm Battery | Gear,00711,Gear,,No Strain,"Certified Cultivators, LLC",Sales Floor,3,30,15,00711,,,false,,,,,,,6/10/2024,,6/11/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Certified,,,,,,0,,,,,,78424240,,3,,,,false,,,,,30,30,,All enabled customer types
52836205,Airo Sport | OG Indigo | Battery | Gear,00740,Gear,,No Strain,Buckeye Relief,Backstock,22,20,10,00740,,,false,,,,,,,7/8/2024,,7/8/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,22,,,,false,,,,,20,20,,All enabled customer types
83859807,Buckeye Relief | Luster Battery | Red | Gear,00741,Gear,,No Strain,Buckeye Relief,Sales Floor,1,21,10.5,00741,,,false,,,,,,,7/8/2024,,7/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Buckeye Relief,,,,,,0,,,,0,,,,1,,,,false,,,,,21,21,,All enabled customer types
11659817,Puffco | Heated Loading Tool | Desert | Gear,00767,Gear,,No Strain,Hundred Percent Labs,Sales Floor,1,84,42,00767,,,false,,,,,,,8/2/2024,,8/2/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,,,1,,,,false,,,,,84,84,,All enabled customer types
69776168,Standard Farms | Stainless Steel | 510 Battery |,00818,Gear,,No Strain,Standard Farms,Quarantine,60,24,12,00818,,,false,,,,,,,9/17/2024,,9/18/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Standard Farms,,,,,,0,,,,,,,,60,Contact Vendor,,,false,,,,,24,24,,All enabled customer types
14642736,Airgraft Originals | Airgraft 2  | Battery |,00820,Gear,,No Strain,"Standard Wellness Company, LLC",Sales Floor,34,30,15,00820,,,false,,,,,,,9/27/2024,,10/6/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airgraft Originals,,,,,,0,,,,,,,,34,,,,false,,,,,30,30,,All enabled customer types
54072815,Certified | White | 510 Palm Battery,00855,Gear,,N/A,"Certified Cultivators, LLC",Sales Floor,16,25,12.5,00855,,,false,,,,,,,12/8/2024,,11/20/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Certified,,,,,,0,,,,,,,,16,,,,false,,,,,25,25,,All enabled customer types
73378357,"Cali Crusher | Green | Grinder | 2"" | 4pc | Gear",00858,Gear,,N/A,LuvBuds,Sales Floor,14,30,15,00858,,,false,,,,,,,11/26/2024,,11/26/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,14,,,,false,,,,,30,30,,All enabled customer types
91340805,"Cali Crusher | Blue | Grinder | 2"" | 4pc | Gear",00860,Gear,,N/A,LuvBuds,Sales Floor,3,30,15,00860,,,false,,,,,,,11/26/2024,,11/26/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,3,,,,false,,,,,30,30,,All enabled customer types
44325960,"Cali Crusher | Silver | Grinder | 2"" | 4pc | Gear",00861,Gear,,N/A,LuvBuds,Sales Floor,4,30,15,00861,,,false,,,,,,,11/26/2024,,11/26/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,4,,,,false,,,,,30,30,,All enabled customer types
08472463,Silverton | Green | Large | Gear,00868,Gear,,No Strain,Stashlogix,Sales Floor,1,65,32.5,00868,,,false,,,,,,,12/2/2024,,12/2/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,SILVERTON,,,,,,0,,,,,,,,1,,,,false,,,,,65,65,,All enabled customer types
93265450,Silverton | Maroon | Medium | Gear,00873,Gear,,N/A,Stashlogix,Sales Floor,3,55,27.5,00873,,,false,,,,,,,12/2/2024,,12/2/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,SILVERTON,,,,,,0,,,,,,,,3,,,,false,,,,,55,55,,All enabled customer types
18819779,Stache | 4-Piece Grynder | Purple | Gear,00890,Gear,,N/A,LuvBuds,Sales Floor,4,30,15,00890,,,false,,,,,,,12/9/2024,,12/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,,,4,,,,false,,,,,30,30,,All enabled customer types
73141134,Stache | 4-Piece Grynder | Green | Gear,00891,Gear,,N/A,LuvBuds,Sales Floor,2,30,15,00891,,,false,,,,,,,12/9/2024,,12/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,,,2,,,,false,,,,,30,30,,All enabled customer types
44325960,"Cali Crusher | Silver | Grinder | 2"" | 4pc | Gear",00893,Gear,,N/A,LuvBuds,Backstock,25,30,15,00893,,,false,,,,,,,12/9/2024,,12/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,25,,,,false,,,,,30,30,,All enabled customer types
73378357,"Cali Crusher | Green | Grinder | 2"" | 4pc | Gear",00894,Gear,,N/A,LuvBuds,Backstock,12,30,15,00894,,,false,,,,,,,12/9/2024,,12/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,12,,,,false,,,,,30,30,,All enabled customer types
12459770,"Cali Crusher | Red | Grinder | 2"" | 4pc | Gear",00895,Gear,,N/A,LuvBuds,Sales Floor,20,30,15,00895,,,false,,,,,,,12/9/2024,,12/9/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,20,,,,false,,,,,30,30,,All enabled customer types
12459770,"Cali Crusher | Red | Grinder | 2"" | 4pc | Gear",00896,Gear,,N/A,LuvBuds,Backstock,12,30,0,00896,,,false,,,,,,,12/10/2024,,12/10/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Cali Crusher,,,,,,0,,,,,,,,12,,,,false,,,,,30,30,,All enabled customer types
81142619,Airo Pro | Limited Edition Pink | Battery | Gear,00918,Gear,,No Strain,Buckeye Relief,Sales Floor,21,34,17,00918,,,false,,,,,,,12/30/2024,,12/30/2024,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Airo,,,,,,0,,,,,,,,21,,,,false,,,,,34,34,,All enabled customer types
31750350,Hon | Purple W/Gold Frame | Palm Battery | Gear,00924,Gear,,N/A,"Purpose Leaf, LLC",Sales Floor,13,22,11,00924,,,false,,,,,,,1/21/2025,,1/21/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Hon,,,,,,0,,,,,,,,13,,,,false,,,,,22,22,,All enabled customer types
54962234,Hon | KR-1 | Gear,00926,Gear,,No Strain,"Purpose Leaf, LLC",Backstock,30,70,35,00926,,,false,,,,,,,1/21/2025,,1/21/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Hon,,,,,,0,,,,,,,,30,,,,false,,,,,70,70,,All enabled customer types
56717230,Hon | Luster | Battery | Gear,00927,Gear,,No Strain,"Purpose Leaf, LLC",Sales Floor,32,32,16,00927,,,false,,,,,,,1/21/2025,,1/21/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Hon,,,,,,0,,,,,,,,32,,,,false,,,,,32,32,,All enabled customer types
27963665,Klutch | Luster Battery Pro | Black | Gear,00929,Gear,,,AT-CPC (Klutch),Backstock,75,40,20,00929,,,false,,,,,,,1/24/2025,,1/24/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Klutch,,,,,,0,,,,,,00929,,75,,,,false,,,,,40,40,,All enabled customer types
00931,Edie Parker | Green | 510 Battery | Gear,00931,Gear,,N/A,Buckeye Relief,Sales Floor,77,18,9,00931,,,false,,,,,,,1/30/2025,,1/31/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Edie Parker,,,,,,0,,,,,,00931,,77,,,,false,,,,,18,18,,All enabled customer types
58503013,Puffco  | Heated Loading Tool | Onyx | Gear,00938,Gear,,No Strain,Hundred Percent Labs,Sales Floor,4,84,42,00938,,,false,,,,,,,2/6/2025,,2/6/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,00938,,4,,,,false,,,,,84,84,,All enabled customer types
01738364,Puffco  | Heated Loading Tool | Storm | Gear,00939,Gear,,N/A,Hundred Percent Labs,Sales Floor,6,84,42,00939,,,false,,,,,,,2/6/2025,,2/6/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Puffco,,,,,,0,,,,,,00939,,6,,,,false,,,,,84,84,,All enabled customer types
